rec_id_a,rec_id_b
rec-0-org,rec-0-dup-0
rec-1-org,rec-1-dup-0
rec-2-org,rec-2-dup-0
rec-3-org,rec-3-dup-0
rec-4-org,rec-4-dup-0
rec-5-org,rec-5-dup-0
rec-6-org,rec-6-dup-0
rec-7-org,rec-7-dup-0
rec-8-org,rec-8-dup-0
rec-9-org,rec-9-dup-0
rec-10-org,rec-10-dup-0
rec-11-org,rec-11-dup-0
rec-12-org,rec-12-dup-0
rec-13-org,rec-13-dup-0
rec-14-org,rec-14-dup-0
rec-15-org,rec-15-dup-0
rec-16-org,rec-16-dup-0
rec-17-org,rec-17-dup-0
rec-18-org,rec-18-dup-0
rec-19-org,rec-19-dup-0
rec-20-org,rec-20-dup-0
rec-21-org,rec-21-dup-0
rec-22-org,rec-22-dup-0
rec-23-org,rec-23-dup-0
rec-24-org,rec-24-dup-0
rec-25-org,rec-25-dup-0
rec-26-org,rec-26-dup-0
rec-27-org,rec-27-dup-0
rec-28-org,rec-28-dup-0
rec-29-org,rec-29-dup-0
rec-30-org,rec-30-dup-0
rec-31-org,rec-31-dup-0
rec-32-org,rec-32-dup-0
rec-33-org,rec-33-dup-0
rec-34-org,rec-34-dup-0
rec-35-org,rec-35-dup-0
rec-36-org,rec-36-dup-0
rec-37-org,rec-37-dup-0
rec-38-org,rec-38-dup-0
rec-39-org,rec-39-dup-0
rec-40-org,rec-40-dup-0
rec-41-org,rec-41-dup-0
rec-42-org,rec-42-dup-0
rec-43-org,rec-43-dup-0
rec-44-org,rec-44-dup-0
rec-45-org,rec-45-dup-0
rec-46-org,rec-46-dup-0
rec-47-org,rec-47-dup-0
rec-48-org,rec-48-dup-0
rec-49-org,rec-49-dup-0
rec-50-org,rec-50-dup-0
rec-51-org,rec-51-dup-0
rec-52-org,rec-52-dup-0
rec-53-org,rec-53-dup-0
rec-54-org,rec-54-dup-0
rec-55-org,rec-55-dup-0
rec-56-org,rec-56-dup-0
rec-57-org,rec-57-dup-0
rec-58-org,rec-58-dup-0
rec-59-org,rec-59-dup-0
rec-60-org,rec-60-dup-0
rec-61-org,rec-61-dup-0
rec-62-org,rec-62-dup-0
rec-63-org,rec-63-dup-0
rec-64-org,rec-64-dup-0
rec-65-org,rec-65-dup-0
rec-66-org,rec-66-dup-0
rec-67-org,rec-67-dup-0
rec-68-org,rec-68-dup-0
rec-69-org,rec-69-dup-0
rec-70-org,rec-70-dup-0
rec-71-org,rec-71-dup-0
rec-72-org,rec-72-dup-0
rec-73-org,rec-73-dup-0
rec-74-org,rec-74-dup-0
rec-75-org,rec-75-dup-0
rec-76-org,rec-76-dup-0
rec-77-org,rec-77-dup-0
rec-78-org,rec-78-dup-0
rec-79-org,rec-79-dup-0
rec-80-org,rec-80-dup-0
rec-81-org,rec-81-dup-0
rec-82-org,rec-82-dup-0
rec-83-org,rec-83-dup-0
rec-84-org,rec-84-dup-0
rec-85-org,rec-85-dup-0
rec-86-org,rec-86-dup-0
rec-87-org,rec-87-dup-0
rec-88-org,rec-88-dup-0
rec-89-org,rec-89-dup-0
rec-90-org,rec-90-dup-0
rec-91-org,rec-91-dup-0
rec-92-org,rec-92-dup-0
rec-93-org,rec-93-dup-0
rec-94-org,rec-94-dup-0
rec-95-org,rec-95-dup-0
rec-96-org,rec-96-dup-0
rec-97-org,rec-97-dup-0
rec-98-org,rec-98-dup-0
rec-99-org,rec-99-dup-0
rec-100-org,rec-100-dup-0
rec-101-org,rec-101-dup-0
rec-102-org,rec-102-dup-0
rec-103-org,rec-103-dup-0
rec-104-org,rec-104-dup-0
rec-105-org,rec-105-dup-0
rec-106-org,rec-106-dup-0
rec-107-org,rec-107-dup-0
rec-108-org,rec-108-dup-0
rec-109-org,rec-109-dup-0
rec-110-org,rec-110-dup-0
rec-111-org,rec-111-dup-0
rec-112-org,rec-112-dup-0
rec-113-org,rec-113-dup-0
rec-114-org,rec-114-dup-0
rec-115-org,rec-115-dup-0
rec-116-org,rec-116-dup-0
rec-117-org,rec-117-dup-0
rec-118-org,rec-118-dup-0
